rank,handle,x_url,name,followers,avg_engagement,videos_seen,tools,bio,sample_post,sample_url,dm_sent,replied,joined
1,@mckaywrigley,https://x.com/mckaywrigley,Mckay Wrigley,228220,4390,1,,I build & teach AI stuff. Founder @TakeoffAI + @AgentShare.,Here’s how to build your app idea using OpenAI o1-pro with my 6-prompt template system. Even if you can’t code. Watch for a 3hr 58min tutorial and learn how to build + code with AI. Prompts &amp; links below. https://t.co/U0bAe0TU,https://x.com/mckaywrigley/status/1891544731496206365,,,
2,@rileybrown,https://x.com/rileybrown,Riley Brown,227861,908,5,claude code codex cursor figma lovable,Building @agentnative_ riley@agentnative.inc,Built this with 7 prompts with claude code w/ 4.1 opus Image generation Icon Generation Sound Effect Generation Select / Download many Preselections Made this for fun to generate assets for my @v_computer apps https://t.co/hs24SfJ,https://x.com/rileybrown/status/1956499352136134696,,,
3,@mitchellh,https://x.com/mitchellh,Mitchell Hashimoto,222323,1151,1,,"Co-founder of @Superlogical. Creator of Ghostty. 👻 Prev founded @HashiCorp, created Vagrant, Terraform, Vault, and others.","The macOS unobtrusive update feature is now shipped to tip releases (aka. OpenAI Demogate). Demo shows a real update! Beyond visuals, also mproved functionality, e.g. tip updates will now link to a GH compare view between your com",https://x.com/mitchellh/status/1976697791151001905,,,
4,@MengTo,https://x.com/MengTo,Meng To,177894,1296,1,,Founder at @designcodeio and https://t.co/Kpiogf225W. I teach designers code and developers design. Screen recorder: https://t.co/KA2RrdmiHK,This is how I built my first macOS app. A free 34-min tutorial. https://t.co/6lTgejnBOQ,https://x.com/MengTo/status/1910996478408917070,,,
5,@BrettFromDJ,https://x.com/BrettFromDJ,Brett,169202,3720,1,,Running a $1M one-man design studio. 🙂 https://t.co/Bd698tR2Fe: $100K MRR ✍️ https://t.co/qtdiuMA9LP: $12K MRR // Building https://t.co/kbOZ648pJG,"Holy sh*t. Sound on. 🔊 Endless looping, animated Airbnb-style icon with AI generated sound, all in one app. Full tutorial below. https://t.co/l681f8NVmO",https://x.com/BrettFromDJ/status/1923061854747886035,,,
6,@heynavtoor,https://x.com/heynavtoor,Nav Toor,149211,4610,1,claude code copilot,"Helping you master AI daily with step-by-step AI guides, latest news, & practical tools • DM for Collabs","🚨 Claude Code costs $200/month. GitHub Copilot costs $19/month. Jack Dorsey's company built a free alternative. 35,000 GitHub stars. It's called Goose. An open source AI agent built by Block that goes beyond code suggestions. It i",https://x.com/heynavtoor/status/2040702196401197358,,,
7,@dr_cintas,https://x.com/dr_cintas,Alvaro Cintas,131711,924,3,claude code codex,"Educating about AI, Cybersecurity and Technology | Professor | PhD in Computer Science & Engineering","your AI agent can watch any video now - paste a URL and it sees every frame, hears every word, all for free 🤯 bradautomates/claude-video gives Claude the ability to watch YouTube, Loom, TikTok, local files - anything yt-dlp suppor",https://x.com/dr_cintas/status/2081094058139918595,,,
8,@Timmysofine,https://x.com/Timmysofine,Oluwatimileyin✨🦋,82057,181,1,cursor,"Tech and AI Influencer | MSc Governance of Digitalization, Åbo Akademi 🇫🇮 | favourtimileyin2018@gmail.com","Quite a few people have asked me what I use to make my tutorial videos. It’s FocuSee It turns my simple screen recording into a clear, polished, professional-looking tutorial, automatically adds zoom effects, cursor highlights, an",https://x.com/Timmysofine/status/2063881478719856742,,,
9,@mikefutia,https://x.com/mikefutia,Mike Futia,78044,1072,3,antigravity claude code,Building AI systems for ads | Clients: Kitsch & MAELYS | 🤖 Join 600+ brands & agencies 👉 https://t.co/Op2LABIY1A | 🤝 Collabs: hi@mikefutia.com,"I just vibe-coded a Google Maps Lead Gen Scraper in Claude Code that pulls hundreds of local business leads in minutes 🤯 Enter a keyword, city, &amp; state → get back names, phone numbers, emails, websites, &amp; reviews. All insi",https://x.com/mikefutia/status/2067766615962489258,,,
10,@testingcatalog,https://x.com/testingcatalog,🚨 AI News | TestingCatalog,73106,727,1,claude code,"Reporting AI nonsense. Latest AI News on AI Agents, Model Releases, Tools, Leaks, and Rumors 🗞️",ANTHROPIC 🔥: Claude Code got a new /design command in research preview! Design in Claude Code adds an artboard workflow from Claude Design to help users build editable UIs. CCD 👀 https://t.co/4xmIfXSCmZ,https://x.com/testingcatalog/status/2089499940963643567,,,
11,@alexcooldev,https://x.com/alexcooldev,Alex Nguyen,66622,1327,1,,"Indie Hacker building AI apps: 370K users 🤙 (https://t.co/BOZvk1H2cP) 40K users 🤌 (https://t.co/wHZuITsfBh) +3 stealth apps, partnered with @rork and @arcads_ai","After getting tons of feedback on the 3D chess game I vibe-coded in 2 hours, I just shipped another update: → 3 new battle systems → Two-player mode → Walking animations for the chess pieces → A complete sound system → Improved pe",https://x.com/alexcooldev/status/2084212268708094177,,,
12,@shushant_l,https://x.com/shushant_l,Shushant Lakhyani,65205,18,18,,"Marketer. Builder. AI generalist. I help entrepreneurs, professionals, and creators build AI-powered businesses, systems, and personal brands.","Here's how to create your personal portfolio and digital store mobile app in brutalist style with AI. Use this prompt: Build a modern Brutalist-style mobile app that combines a personal portfolio and digital products store, featur",https://x.com/shushant_l/status/2064346903601664272,,,
13,@Nabhel_,https://x.com/Nabhel_,Nabhel,48421,1571,1,figma,🦋 I build software products.,Learn UI design for free. Here is a tutorial on how I made this Mobile app design in Figma. Enjoy 👇! Link: https://t.co/RqsG9Y6uGA #uidesign #uxdesign #uiux #uidesigner #learndesign #visualdesign #appdesign https://t.co/W73KfW9Jxv,https://x.com/Nabhel_/status/1488096839643832320,,,
14,@BHolmesDev,https://x.com/BHolmesDev,Ben Holmes,46344,262,2,vercel,The Whiteboard Guy @warpdotdev,🪐 FULL STACK ASTRO APP - Devlog 2 • Autosave with @tan_stack query • ZERO JS soundboards feat. prog enhancement https://t.co/djUoWzw60m,https://x.com/BHolmesDev/status/1696899822324756522,,,
15,@mannupaaji,https://x.com/mannupaaji,Manu Arora,43582,313,1,claude code,"Building https://t.co/4eCBc4SSJt (180k+ users) • https://t.co/0jrp6s2JJ9 Dev studio → https://t.co/NPJalHkrux (worked w @cursor_ai, @FireworksAI_HQ) YouTube →https://t.co/3OQiOSxJvC",Built this with the new @shadcn CLI MCP + Namespaced registry and Claude Code in around 5 minutes https://t.co/4eRlSpZMxh,https://x.com/mannupaaji/status/1964230013483700695,,,
