platform,rank,handle,url,followers,est_reach,suggested_fee,cpm,bio,sample_url,wave,contacted,agreed_fee,posted,result
tiktok,1,@memorytoys,https://www.tiktok.com/@memorytoys,20600,5850000,200,0.034,🎮Free shipping 🔥Click the link below to get this Toys🔥 👇🏻Up to 50% OFF👇🏻,https://www.tiktok.com/@memorytoys/video/6983632522227748102,,,,,
tiktok,2,@itspianopop,https://www.tiktok.com/@itspianopop,23000,5300000,200,0.038,Learn to play the piano on your own time at your own pace.,https://www.tiktok.com/@itspianopop/video/7565903573826030851,,,,,
tiktok,3,@textomatic2,https://www.tiktok.com/@textomatic2,203600,13000000,600,0.046,please support 300k followers,https://www.tiktok.com/@textomatic2/video/7560768627280973078,,,,,
tiktok,4,@quizzyx99,https://www.tiktok.com/@quizzyx99,40500,3300000,200,0.061,daily challenge video uploads follow my account,https://www.tiktok.com/@quizzyx99/video/7611996575845453069,,,,,
tiktok,5,@hon.minister_philip,https://www.tiktok.com/@hon.minister_philip,21200,3000000,200,0.067,💫✨𝙈𝙞𝙖𝙣 𝘼𝙗𝙙𝙪𝙡𝘼𝙯𝙞𝙯 𝙏𝙞𝙠𝙏𝙤𝙠 𝙎𝙝𝙤𝙥💫✨ 👑,https://www.tiktok.com/@hon.minister_philip/video/7527951628020747542,,,,,
tiktok,6,@thequizcontest,https://www.tiktok.com/@thequizcontest,99500,8200000,600,0.073,Follow to learn everyday and become the best version of yourself 🥳🇺🇸 Dm for Collabs/Promos,https://www.tiktok.com/@thequizcontest/video/7557517339554565389,,,,,
tiktok,7,@littlebitofmsjessica,https://www.tiktok.com/@littlebitofmsjessica,5490,700000,75,0.107,A Little of This & That 💌 littlebitofmsjessica@gmail.com TPT ⬇️💗✏️🍒🎀✨,https://www.tiktok.com/@littlebitofmsjessica/video/7536340512282873101,,,,,
tiktok,8,@sarpercy,https://www.tiktok.com/@sarpercy,366600,15000000,1800,0.12,Want some Teasers? ⬇️ For Business & Tiktok Ads⬇️ dyvvne@gmail.com,https://www.tiktok.com/@sarpercy/video/7166604362670705925,,,,,
tiktok,9,@unlockify0,https://www.tiktok.com/@unlockify0,5100,412300,75,0.182,,https://www.tiktok.com/@unlockify0/video/7647951964667481357,,,,,
tiktok,10,@quiz.videos.0,https://www.tiktok.com/@quiz.videos.0,154300,3050000,600,0.197,An old man with young mind! 🧠😎 Test your knowledge with my daily quizzes.🔥,https://www.tiktok.com/@quiz.videos.0/video/7577461411975154966,,,,,
